"BigONE",":doc:`exchange/bigone`",""
"Binance",":doc:`exchange/binance`","Documented"
"BIT.TEAM",":doc:`exchange/bitteam`",""
"Bitbns",":doc:`exchange/bitbns`",""
"Bitfinex",":doc:`exchange/bitfinex`",""
"Bitget",":doc:`exchange/bitget`","Documented"
"BitMart",":doc:`exchange/bitmart`",""
"BitMEX",":doc:`exchange/bitmex`","Documented"
"BitoPro",":doc:`exchange/bitopro`",""
"Bitstamp",":doc:`exchange/bitstamp`","Documented"
"Bittrex Global",":doc:`exchange/bittrex`","Documented"
"Bitvavo",":doc:`exchange/bitvavo`","Documented"
"Blockchain Exchange",":doc:`exchange/blockchain`",""
"BTC-Alpha",":doc:`exchange/btcalpha`",""
"BTCMarkets",":doc:`exchange/btcmarkets`",""
"Bybit",":doc:`exchange/bybit`","Documented"
"Coinbase",":doc:`exchange/coinbase`","Documented"
"Coinbase Pro (GDAX)",":doc:`exchange/coinbasepro`","Documented"
"Coincheck",":doc:`exchange/coincheck`",""
"CoinEx",":doc:`exchange/coinex`",""
"CoinList",":doc:`exchange/coinlist`",""
"Coinmate",":doc:`exchange/coinmate`",""
"Coinmerce Lite",":doc:`exchange/coinmerce`",""
"Coins.ph",":doc:`exchange/coinsph`",""
"Crypto.com App",":doc:`exchange/cdca2`","Documented"
"Crypto.com Exchange",":doc:`exchange/cdce`",""
"Currency.com",":doc:`exchange/currency`",""
"Deribit",":doc:`exchange/deribit`",""
"DigiFinex",":doc:`exchange/digifinex`",""
"Exmo",":doc:`exchange/exmo`",""
"FTX",":doc:`exchange/ftx`",""
"Gate.io",":doc:`exchange/gatio`",""
"Gemini",":doc:`exchange/gemini`",""
"HitBTC",":doc:`exchange/hitbtc`",""
"HollaEx Pro",":doc:`exchange/hollaex`",""
"HTX",":doc:`exchange/htx`",""
"IDEX",":doc:`exchange/idex`",""
"Kraken",":doc:`exchange/kraken`","Documented"
"Kucoin",":doc:`exchange/kucoin`",""
"Kuna",":doc:`exchange/kuna`",""
"Lykke",":doc:`exchange/lykke`",""
"MEXC Global",":doc:`exchange/mexc`",""
"Midas Investments",":doc:`exchange/midas`",""
"NDAX",":doc:`exchange/ndax`",""
"NEXO App",":doc:`exchange/nexo`","Documented"
"NEXO Pro",":doc:`exchange/nexopro`",""
"NovaDAX",":doc:`exchange/novadax`",""
"OKX",":doc:`exchange/okx`",""
"Phemex",":doc:`exchange/phemex`",""
"Poloniex",":doc:`exchange/poloniex`",""
"ProBit",":doc:`exchange/probit`",""
"TimeX",":doc:`exchange/timex`",""
"Tokocrypto",":doc:`exchange/tokocrypto`",""
"WOO X",":doc:`exchange/woox`",""
